code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1001;L'Abergement-Clémenciat;1;636;323;4558;2482;9;;
1002;L'Abergement-de-Varey;1;369;335;3695;2189;9;;
1004;Ambérieu-en-Bugey;1;486;325;3029;1963;9;;
1005;Ambérieux-en-Dombes;1;658;329;4357;2414;9;;
1006;Ambléon;1;430;344;4159;2346;9;;
1007;Ambronay;1;435;326;3742;2205;9;;
1008;Ambutrix;1;450;323;3103;1988;9;;
1009;Andert-et-Condon;1;433;332;4079;2319;46;;
1010;Anglefort;1;476;326;3650;2173;9;;
1011;Apremont;1;392;451;4724;2538;9;;
1012;Aranc;1;422;420;3926;2267;9;;
1013;Arandas;1;411;332;2463;1770;9;;
1014;Arbent;1;424;372;4802;2565;9;;
1015;Arboys en Bugey;1;459;325;3675;2182;46;;
1016;Arbigny;1;593;316;4021;2299;9;;
1017;Argis;1;388;331;3144;2002;9;;
1019;Armix;1;431;406;3834;2236;9;;
1021;Ars-sur-Formans;1;670;322;4834;2576;9;;
1022;Artemare;1;481;323;4246;2376;9;;
1023;Asnières-sur-Saône;1;608;313;4583;2490;9;;
1024;Attignat;1;534;319;3927;2268;9;;
1025;Bâgé-Dommartin;1;615;317;4129;2336;9;;
1026;Bâgé-le-Châtel;1;612;317;4222;2368;9;;
1027;Balan;1;456;315;3918;2265;9;;
1028;Baneins;1;645;321;4529;2472;9;;
1029;Beaupont;1;502;317;3669;2180;9;;
1030;Beauregard;1;675;313;5588;2832;9;;
1031;Bellignat;1;379;365;4891;2595;9;;
1032;Béligneux;1;463;316;3942;2273;9;;
1033;Valserhône;1;514;336;3669;2180;9;;
1034;Belley;1;454;326;3365;2077;46;;
1035;Belleydoux;1;418;441;7677;3541;9;;
1036;Valromey-sur-Séran;1;455;367;4089;2322;9;;
1037;Bénonces;1;416;362;3619;2163;9;;
1038;Bény;1;504;322;4593;2494;9;;
1039;Béon;1;485;324;4156;2345;9;;
1040;Béréziat;1;576;317;4053;2310;9;;
1041;Bettant;1;426;322;2927;1928;9;;
1042;Bey;1;612;317;4629;2506;9;;
1043;Beynost;1;469;315;3913;2263;9;;
1044;Billiat;1;472;370;3938;2271;9;;
1045;Birieux;1;591;327;3515;2128;9;;
1046;Biziat;1;615;318;4719;2537;9;;
1047;Blyes;1;431;319;4170;2350;9;;
1049;La Boisse;1;481;315;3368;2078;9;;
1050;Boissey;1;588;316;4086;2322;9;;
1051;Bolozon;1;403;332;4470;2452;9;;
1052;Bouligneux;1;649;327;3651;2174;9;;
1053;Bourg-en-Bresse;1;459;319;3629;2167;9;;
1054;Bourg-Saint-Christophe;1;467;322;3845;2240;9;;
1056;Boyeux-Saint-Jérôme;1;380;367;4120;2333;9;;
1057;Boz;1;598;314;4083;2321;9;;
1058;Brégnier-Cordon;1;488;319;4901;2598;9;;
1060;Brénod;1;429;434;3973;2283;9;;
1061;Brens;1;458;321;4415;2433;46;;
1062;Bressolles;1;475;316;3613;2161;9;;
1063;Brion;1;424;356;4356;2413;9;;
1064;Briord;1;454;317;3761;2211;9;;
1065;Buellas;1;545;320;3712;2194;9;;
1066;La Burbanche;1;423;336;3785;2220;9;;
1067;Ceignes;1;379;387;3815;2229;9;;
1068;Cerdon;1;381;331;3697;2189;9;;
1069;Certines;1;486;322;3734;2202;9;;
1071;Cessy;1;462;367;4342;2409;9;;
1072;Ceyzériat;1;443;330;4197;2359;9;;
1073;Ceyzérieu;1;484;322;4254;2378;9;;
1074;Chalamont;1;520;328;2682;1845;9;;
1075;Chaleins;1;693;315;5081;2659;9;;
1076;Chaley;1;428;349;3580;2150;9;;
1077;Challes-la-Montagne;1;374;359;3835;2236;9;;
1078;Challex;1;493;363;4041;2306;9;;
1079;Champagne-en-Valromey;1;480;367;4007;2295;9;;
1080;Champdor-Corcelles;1;436;317;3912;2263;9;;
1081;Champfromier;1;453;395;4906;2600;9;;
1082;Chanay;1;468;332;3794;2223;9;;
1083;Chaneins;1;674;323;4963;2620;9;;
1084;Chanoz-Châtenay;1;595;321;4277;2386;9;;
1085;La Chapelle-du-Châtelard;1;619;324;4414;2433;9;;
1087;Charix;1;413;421;4489;2459;9;;
1088;Charnoz-sur-Ain;1;426;321;4084;2321;9;;
1089;Château-Gaillard;1;459;320;3311;2058;9;;
1090;Châtenay;1;488;330;3379;2081;9;;
1092;Châtillon-la-Palud;1;452;320;3405;2090;9;;
1093;Châtillon-sur-Chalaronne;1;644;319;4202;2361;9;;
1094;Chavannes-sur-Reyssouze;1;565;314;4010;2296;9;;
1095;Nivigne et Suran;1;414;335;5513;2806;9;;
1096;Chaveyriat;1;586;323;4079;2319;9;;
1098;Chazey-Bons;1;437;320;4605;2498;46;;
1099;Chazey-sur-Ain;1;437;321;3963;2280;9;;
1100;Cheignieu-la-Balme;1;462;335;4005;2294;9;;
1101;Chevillard;1;390;425;3913;2263;9;;
1102;Chevroux;1;600;317;4148;2343;9;;
1103;Chevry;1;463;361;4536;2474;9;;
1104;Chézery-Forens;1;464;376;6153;3024;9;;
1105;Civrieux;1;656;328;4492;2460;9;;
1106;Cize;1;398;333;4842;2578;9;;
1107;Cleyzieu;1;398;381;3189;2017;9;;
1108;Coligny;1;480;319;5233;2711;9;;
1109;Collonges;1;507;359;3748;2207;9;;
1110;Colomieu;1;432;332;3970;2282;46;;
1111;Conand;1;413;347;2866;1907;9;;
1112;Condamine;1;407;377;3787;2220;9;;
1113;Condeissiat;1;561;322;4138;2339;9;;
1114;Confort;1;485;371;4137;2339;9;;
1115;Confrançon;1;586;316;4005;2294;9;;
1116;Contrevoz;1;463;339;3975;2284;9;;
1117;Conzieu;1;433;340;4222;2368;9;;
1118;Corbonod;1;497;344;3666;2179;9;;
1121;Corlier;1;392;420;3878;2251;9;;
1123;Cormoranche-sur-Saône;1;638;313;4122;2334;9;;
1124;Cormoz;1;526;318;4451;2446;9;;
1125;Corveissiat;1;405;328;5413;2772;9;;
1127;Courmangoux;1;463;328;5075;2658;9;;
1128;Courtes;1;536;318;4594;2494;9;;
1129;Crans;1;471;327;3466;2111;9;;
1130;Bresse Vallons;1;533;316;4177;2353;9;;
1133;Cressin-Rochefort;1;492;322;3239;2034;9;;
1134;Crottet;1;629;316;4470;2452;9;;
1135;Crozet;1;463;367;4690;2527;9;;
1136;Cruzilles-lès-Mépillat;1;622;317;4575;2487;9;;
1138;Culoz;1;496;322;4152;2344;9;;
1139;Curciat-Dongalon;1;543;318;4928;2607;9;;
1140;Curtafond;1;570;318;3895;2257;9;;
1141;Cuzieu;1;438;330;4508;2465;9;;
1142;Dagneux;1;479;315;3310;2058;9;;
1143;Divonne-les-Bains;1;445;359;3975;2284;9;;
1145;Dompierre-sur-Veyle;1;492;327;3122;1994;9;;
1146;Dompierre-sur-Chalaronne;1;636;321;4584;2491;9;;
1147;Domsure;1;488;319;4275;2386;9;;
1148;Dortan;1;405;333;6678;3202;46;;
1149;Douvres;1;417;326;3585;2151;9;;
1150;Drom;1;411;332;4552;2480;9;;
1151;Druillat;1;450;325;3653;2174;9;;
1152;Échallon;1;425;416;5114;2671;9;;
1153;Échenevex;1;463;355;4671;2520;9;;
1155;Évosges;1;402;414;3521;2130;9;;
1156;Faramans;1;491;328;3652;2174;9;;
1157;Fareins;1;700;316;5407;2770;9;;
1158;Farges;1;496;362;4034;2304;9;;
1159;Feillens;1;620;314;4435;2440;9;;
1160;Ferney-Voltaire;1;533;348;3726;2199;9;;
1162;Flaxieu;1;484;327;4200;2360;9;;
1163;Foissiat;1;540;318;4201;2361;9;;
1165;Francheleins;1;738;319;5336;2746;9;;
