code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
10372;Soulaines-Dhuys;10;408;309;3266;2043;9;;
29239;Roscoff;29;1199;298;7971;3641;9;;
50041;La Hague;50;606;305;4077;2319;9;;
51108;Châlons-en-Champagne;51;448;304;2671;1841;9;;
55087;Bure;55;506;334;6274;3065;9;;
92071;Sceaux;92;411;306;1532;1454;9;;
92014;Bourg-la-Reine;92;446;302;2376;1741;9;;
92019;Châtenay-Malabry;92;414;306;1737;1524;9;;
93051;Noisy-le-Grand;93;385;305;1756;1530;9;;
73001;Aiguebelette-le-Lac;73;496;344;4743;2545;46;;
73003;Grand-Aigueblanche;73;649;354;6774;3234;9;;
73004;Aillon-le-Jeune;73;579;451;5297;2733;9;;
73005;Aillon-le-Vieux;73;560;456;5194;2698;9;;
73006;Aime-la-Plagne;73;688;397;6481;3135;9;;
73007;Aiton;73;667;342;5867;2926;9;;
73008;Aix-les-Bains;73;535;324;8663;3876;9;;
73010;Entrelacs;73;494;337;4041;2306;9;;
73011;Albertville;73;628;335;5175;2691;9;;
73012;Albiez-le-Jeune;73;763;607;7794;3581;9;;
73013;Albiez-Montrond;73;744;389;7858;3603;9;;
73014;Allondaz;73;588;407;4535;2474;9;;
73015;Les Allues;73;735;516;7602;3516;9;;
73017;Apremont;73;539;333;5565;2824;9;;
73018;Arbin;73;587;329;4559;2482;9;;
73019;Argentine;73;821;346;9576;4186;9;;
73020;Arith;73;560;404;4769;2553;9;;
73021;Arvillard;73;790;356;6434;3119;9;;
73022;Attignat-Oncin;73;460;381;4824;2572;46;;
73023;Aussois;73;702;658;5881;2931;9;;
73024;Les Avanchers-Valmorel;73;651;505;6954;3296;9;;
73025;Avressieux;73;484;329;4611;2500;46;;
73026;Avrieux;73;699;501;6581;3169;9;;
73027;Ayn;73;455;370;4630;2506;46;;
73028;La Balme;73;471;319;5335;2746;46;;
73029;Barberaz;73;544;326;4911;2602;9;;
73030;Barby;73;571;330;4795;2562;9;;
73031;Bassens;73;511;332;4637;2509;9;;
73032;La Bâthie;73;717;338;7202;3380;9;;
73033;La Bauche;73;483;369;4695;2529;9;;
73034;Beaufort;73;794;410;5452;2786;9;;
73036;Bellecombe-en-Bauges;73;549;437;5114;2671;9;;
73039;Belmont-Tramonet;73;484;325;4353;2412;9;;
73040;Bessans;73;563;772;6567;3164;9;;
73041;Betton-Bettonet;73;685;338;5474;2793;9;;
73042;Billième;73;488;347;5129;2676;9;;
73043;La Biolle;73;502;342;5003;2633;9;;
73047;Bonneval-sur-Arc;73;744;817;6252;3057;9;;
73048;Bonvillard;73;634;412;5826;2912;9;;
73049;Bonvillaret;73;656;398;6355;3092;9;;
73050;Bourdeau;73;493;329;6151;3023;9;;
73051;Le Bourget-du-Lac;73;530;321;6164;3027;9;;
73052;Bourget-en-Huile;73;671;433;6082;2999;9;;
73053;Bourgneuf;73;684;328;5427;2777;9;;
73054;Bourg-Saint-Maurice;73;775;430;5836;2916;9;;
73055;Bozel;73;654;437;7421;3454;9;;
73057;Brides-les-Bains;73;680;377;6940;3291;9;;
73058;La Bridoire;73;448;331;4712;2534;46;;
73059;Brison-Saint-Innocent;73;506;326;7994;3649;9;;
73061;Césarches;73;617;358;4897;2597;9;;
73063;Cevins;73;710;348;6537;3154;9;;
73064;Challes-les-Eaux;73;561;329;5108;2669;9;;
73065;Chambéry;73;541;325;4424;2436;9;;
73067;La Chambre;73;861;356;7921;3624;9;;
73068;Chamousset;73;712;330;5280;2727;9;;
73069;Chamoux-sur-Gelon;73;679;332;5524;2810;9;;
73070;Champagneux;73;487;319;5638;2849;46;;
73071;Champagny-en-Vanoise;73;663;552;7018;3317;9;;
73072;Champ-Laurent;73;639;496;5934;2949;9;;
73073;Chanaz;73;506;321;4999;2632;9;;
73074;La Chapelle;73;812;354;7979;3644;9;;
73075;La Chapelle-Blanche;73;593;368;5324;2742;9;;
73076;La Chapelle-du-Mont-du-Chat;73;514;348;6294;3071;9;;
73077;Les Chapelles;73;694;579;6753;3227;9;;
73078;La Chapelle-Saint-Martin;73;452;345;5118;2672;46;;
73079;Châteauneuf;73;707;336;5158;2685;9;;
73081;Le Châtelard;73;552;411;4974;2623;9;;
73082;La Chavanne;73;587;331;4773;2555;9;;
73083;Les Chavannes-en-Maurienne;73;830;357;7532;3492;9;;
73084;Chignin;73;531;339;5121;2673;9;;
73085;Chindrieux;73;536;328;3737;2203;9;;
73086;Cléry;73;604;384;4800;2564;9;;
73087;Cognin;73;542;328;4053;2310;9;;
73088;Cohennoz;73;671;455;4296;2393;9;;
73089;Coise-Saint-Jean-Pied-Gauthier;73;656;339;5271;2724;9;;
73090;La Compôte;73;568;408;4901;2598;9;;
73091;Conjux;73;482;326;4420;2435;9;;
73092;Corbel;73;466;441;4421;2435;9;;
73094;Crest-Voland;73;675;551;4218;2367;9;;
73095;La Croix-de-la-Rochette;73;618;333;6106;3008;9;;
73096;Cruet;73;616;339;4789;2560;9;;
73097;Curienne;73;556;403;5102;2667;9;;
73098;Les Déserts;73;545;354;6663;3197;9;;
73099;Détrier;73;603;344;5943;2952;9;;
73100;Domessin;73;468;335;4303;2395;9;;
73101;Doucy-en-Bauges;73;562;468;4799;2564;9;;
73103;Drumettaz-Clarafond;73;559;339;5882;2932;9;;
73104;Dullin;73;450;367;4660;2517;46;;
73105;Les Échelles;73;473;341;4373;2419;9;;
73106;École;73;605;409;5325;2742;9;;
73107;Entremont-le-Vieux;73;512;435;4361;2415;9;;
73109;Épierre;73;851;339;8403;3788;9;;
73110;Esserts-Blay;73;626;354;6631;3186;9;;
73113;Feissons-sur-Salins;73;670;566;6333;3085;9;;
73114;Flumet;73;689;456;4115;2331;9;;
73116;Fontcouverte-la-Toussuire;73;750;539;7536;3493;9;;
73117;Fourneaux;73;728;496;7759;3569;9;;
73119;Freney;73;745;490;8676;3880;9;;
73120;Fréterive;73;656;330;5234;2711;9;;
73121;Frontenex;73;596;334;4977;2624;9;;
73122;Gerbaix;73;478;375;4851;2581;46;;
73123;La Giettaz;73;715;508;3287;2050;9;;
73124;Gilly-sur-Isère;73;629;335;4039;2306;9;;
73128;Grésy-sur-Aix;73;526;336;6450;3124;9;;
73129;Grésy-sur-Isère;73;647;337;5241;2714;9;;
73130;Grignon;73;613;333;5357;2753;9;;
73131;Hautecour;73;650;535;6126;3014;9;;
73132;Hauteluce;73;815;414;4697;2529;9;;
73133;Hauteville;73;626;348;5396;2766;9;;
73135;La Tour-en-Maurienne;73;802;355;7730;3559;9;;
73137;Jacob-Bellecombette;73;518;338;4552;2480;9;;
73138;Jarrier;73;856;389;7749;3566;9;;
